10151;The Great Events by Famous Historians, Volume 5
1016;On the Improvement of the Understanding (Treatise on the Emendation of the Intellect)
10164;The Black Creek Stopping-House
10165;Across the Zodiac
10166;What Germany Thinks The War as Germans see it
1019;Poems
102;The Tragedy of Pudd'nhead Wilson
1020;Sword Blades and Poppy Seed
1021;The Congo and Other Poems
1022;Walking
10220;Daddy Takes Us Skating
10221;Purple Springs
10224;Our Little Alaskan Cousin
1023;Bleak House
1024;The Wrecker
1025;Unknown
10251;Town Geology
1027;The Lone Star Ranger
10274;Sermons on Evil-Speaking
1028;The Professor
1029;The Night-Born
103;Around the World in 80 Days
10310;Audio: After Dinner Toast at Little Menlo
10315;Persian Literature, Volume 1,Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan
10316;Roy Blakeley's Adventures in Camp
10318;Damon and Delia A Tale
1032;The Pupil
10323;The Rover Boys at College
10325;The Gospel of the Pentateuch
10326;David
1033;Rose O' the River
10330;Fruitfulness Fecondite
10333;The European Anarchy
10336;A Select Collection of Old English Plays, Vol. VII (4th edition)
10337;Lady Into Fox
1034;Poems
10343;The Works of Charles and Mary Lamb, Volume 2
10345;Domestic Manners of the Americans
10348;Audio: Go to Sea Once More
1035;The Man Against the Sky
10351;The Works of Samuel Johnson, Vol. 10. Parlimentary Debates I.
10355;Travels in Morocco, Vol. 1.
10356;Travels in Morocco, Vol. 2.
10357;Life Of Johnson, Volume 4 (of 6)
10358;The Boss of Little Arcady
10359;Aunt Jane's Nieces at Millville
1036;Joe Wilson and His Mates
10360;Kitty's Class Day And Other Stories
10361;The Creative Process in the Individual
10362;Sketches of the East Africa Campaign
10364;Yeast: A Problem
10366;Freedom's Battle Being a Comprehensive Collection of Writings and Speeches on the Present Situation
1037;The Life of John Bunyan
10373;The Middle Temple Murder
10374;The Ramblin' Kid
10377;The Evil Guest
10387;The Real America in Romance, Volume 6; A Century Too Soon (A Story of Bacon's Rebellion)
10388;Old English Plays, Vol. I A Collection of Old English Plays
1039;Missionary Travels and Researches in South Africa Journeys and Researches in South Africa
10390;The Edinburgh Lectures on Mental Science
10391;The Wolf's Long Howl
10397;Affairs of State
10398;The American Child
104;Franklin Delano Roosevelt's First Inaugural Address
1040;The Three Taverns
10402;A Man and His Money
1041;Shakespeare's Sonnets
1043;The Story of Evolution
1045;Venus and Adonis
1046;God The Invisible King
1047;The New Machiavelli
1048;The Ruling Passion
1049;Vanished Arizona Recollections of the Army Life by a New England Woman
105;Persuasion
1050;Dark Lady of the Sonnets
1051;Sartor Resartus The Life and Opinions of Herr Teufelsdrockh
1052;Step by Step or, Tidy's Way to Freedom
1053;Within the Tides Tales
1056;Martin Eden
1059;The World Set Free
106;Jungle Tales of Tarzan
1061;Myths and Myth-Makers Old Tales and Superstitions Interpreted by Comparative Mythology
1062;First Gutenberg Collection of Edgar Allan Poe
1063;The Cask of Amontillado
1064;The Masque of the Red Death
1065;The Raven
1067;Personal Memoirs of U. S. Grant, Volume One
1068;Personal Memoirs of U. S. Grant, Volume Two
1069;Nana, The Miller's Daughter, Captain Burle, Death of Olivier Becaille
107;Far from the Madding Crowd
1076;The Wallet of Kai Lung
1077;The Mirror of Kong Ho
1078;The Scouts of the Valley
1079;The Life and Opinions of Tristram Shandy, Gentleman
108;The Return of Sherlock Holmes
1080;A Modest Proposal For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick - 1729
1081;Dead Souls
1082;Unknown
1083;The Arrow of Gold a story between two notes
1084;Unknown
1085;The Life of John Sterling
1087;Baartock
1088;Rolf In The Woods
1089;Moon-Face and Other Stories
109;Renascence and Other Poems
1090;The Bickerstaff-Partridge Papers
1091;Heroes and Hero Worship
1093;The Beast in the Jungle
1094;Tamburlaine the Great, Part I.
1095;The Light of Western Stars
1096;Unknown
1097;Mrs. Warren's Profession
1098;The Turmoil A Novel
1099;The Riverman
11;Alice's Adventures in Wonderland
110;Tess of the d'Urbervilles A Pure Woman
1100;Unknown
1101;Unknown
1102;Unknown
1103;King Richard III
1104;Unknown
1105;Unknown
1106;Unknown
1107;Unknown
1108;Unknown
1109;Unknown
111;Freckles
1110;Unknown
1111;Unknown
1112;Romeo and Juliet
1113;Unknown
1114;Unknown
1115;Unknown
1116;Unknown
1117;Unknown
1118;Much Ado About Nothing
1119;Unknown
112;Violists
1120;Unknown
1121;As You Like It
1122;Unknown
1123;Unknown
1124;Unknown
1125;Unknown
1126;Unknown
1127;Unknown
1128;Unknown
1129;Unknown
113;The Secret Garden
1130;Unknown
1131;Unknown
1132;Unknown
1133;Unknown
1134;Unknown
1135;Unknown
1136;Unknown
1137;Unknown
1138;The Research Magnificent
1139;Fisherman's Luck
1140;Latter-Day Pamphlets
1142;Typhoon
1143;Notes on Life and Letters
1144;In the Cage
1145;Rupert of Hentzau From The Memoirs of Fritz Von Tarlenheim: The Sequel to The Prisoner of Zenda
1146;Journal of A Voyage to Lisbon
1147;From This World to the Next
1149;From London to Land's End and Two Letters from the Journey through England by a Gentleman
115;United States Census Figures back to 1630
1150;The Danish History, Books I-IX
1151;The Nibelungenlied
1152;The Story of the Volsungs, (Volsunga Saga) With Excerpts from the Poetic Edda
1153;The Chessmen of Mars
1156;Babbitt
1157;Damaged Goods A novelization of the play Les Avaries
1158;Penrod and Sam
1159;Fire-Tongue
1160;The Game
1161;Jerry of the Islands
1162;The Jacket (The Star-Rover)
1163;Adventure
1164;The Iron Heel
1165;Unknown
1166;Unknown
1167;A Strange Disappearance
1168;The Pool in the Desert
1169;Agesilaus
1170;Anabasis
1171;The Apology
1172;The Cavalry General
1173;The Economist
1174;Hellenica
1175;Hiero
1176;On Horsemanship
1177;The Memorabilia Recollections of Socrates
1178;The Polity of the Athenians and the Lacedaemonians
1179;On Revenues
118;Big Dummy's Guide to the Internet
1180;The Sportsman On Hunting, A Sportsman's Manual, Commonly Called Cynegeticus
1181;The Symposium
1182;Dope
1183;The Return of Dr. Fu-Manchu
1185;History of the Conflict Between Religion and Science
1186;Poems
1187;War of the Classes
1188;The Lair of the White Worm
1189;The Message
119;A Tramp Abroad, Complete
1190;The Jolly Corner
1191;The Double-Dealer
1194;The Adventures of Louis de Rougemont as told by Himself
1195;Glasses
1196;The Purse
1197;Taras Bulba and Other Tales
1198;Robbery Under Arms
1199;Unknown
12;Through the Looking-Glass
120;Treasure Island
1200;Gargantua and Pantagruel, Complete. Five Books Of The Lives, Heroic Deeds And Sayings Of Gargantua And His Son Pantagruel
1201;Unknown
1202;Tales of Unrest
1203;Dolly Dialogues
1204;Cabin Fever
1205;The Colour of Life
1206;Flying U Ranch
1207;Nada the Lily
1208;South Sea Tales
1209;History of the Conquest of Peru
121;Northanger Abbey
1210;Kwaidan: Stories and Studies of Strange Things
1211;A Selection From The Lyrical Poems Of Robert Herrick
1212;Love And Freindship And Other Early Works (Love And Friendship) A collection of juvenile writings
1213;The Man that Corrupted Hadleyburg
1214;The Street of Seven Stars
1215;The Elixir of Life
1216;Decline of Science in England
1217;Penelope's Experiences in Scotland
1218;The Adventures of Jimmie Dale
1219;An Essay on Comedy And the Uses of the Comic Spirit
122;Return of the Native
1220;The Atheist's Mass
1221;Unknown
1222;Cobb's Anatomy
1223;Ursula
1224;Unknown
1225;Faraday As A Discoverer
1226;Unknown
1227;The Expression of Emotion in Man and Animals
1228;On the Origin of Species 1st Edition
1229;Unknown
123;At the Earth's Core
1230;Pierre Grassou
1231;On the Track
1232;The Prince
1233;Unknown
1234;Unknown
1235;Captain Fracasse
1236;First Across the Continent
1237;Father Goriot
1238;The City of Dreadful Night
1239;The Spirit of the Border A Romance of the Early Settlers in the Ohio Valley
124;Deuterocanonical Books of the Bible Apocrypha
1240;The Playboy of the Western World
1241;The Well of the Saints
1242;Unconscious Comedians
1243;Hearts of Controversy
1245;Night and Day
1246;The House of Dust A Symphony
1247;Second April
1248;Last of the Great Scouts The Life Story of William F. Cody [Buffalo Bill]
1249;Unknown
125;A Girl Of The Limberlost
1250;Anthem
1251;Le Morte D'Arthur, Volume I (of II) King Arthur and of his Noble Knights of the Round Table
1252;Le Morte D'Arthur, Volume II (of II) King Arthur and of his Noble Knights of the Round Table
1253;A Simple Soul
1254;Cyrano de Bergerac
1257;The Three Musketeers
1258;Ten Years Later Chapters 1-104
1259;Twenty Years After
126;The Poison Belt
1260;Jane Eyre an Autobiography
1261;Betty Zane
1262;The Heritage of the Desert
1263;The Glimpses of the Moon
1264;The Wheels of Chance A Bicycling Idyll
1265;Queen Victoria
1266;Lavender and Old Lace
1267;Kai Lung's Golden Hours
1268;The Mysterious Island
1269;Soul of a Bishop
127;Number e (Natural Log) to Approximately 1 Million Places
1270;In Defense of Women
1271;Bygone Beliefs
1272;Unknown
1273;The Autobiography of a Slander
1274;Martin Hyde, The Duke's Messenger
1276;The Rhythm of Life
1277;Melmoth Reconciled
1278;Penelope's English Experiences
1279;Poems And Songs Of Robert Burns
128;The Arabian Nights Entertainments
1280;Spoon River Anthology
1281;Tom Swift and his Aerial Warship or, The Naval Terror of the Seas
1282;Tom Swift Among The Diamond Makers or The Secret of Phantom Mountain
1283;Tom Swift and his Wizard Camera or, Thrilling Adventures while taking Moving Pictures
1284;Tom Swift and his Air Scout or, Uncle Sam's Mastery of the Sky
1285;The Water Goats and Other Troubles
1286;Unknown
1287;Unknown
1288;Dream Days Sequel to The Golden Age
1291;Herodias
1294;The Firm of Nucingen
1295;Ceres' Runaway
1296;The Provost
1297;The Iron Puddler
1298;The Virginian A Horseman Of The Plains
1299;The Heritage of the Sioux
13;The Hunting of the Snark An Agony in Eight Fits
130;Orthodoxy
1300;Riders of the Purple Sage
1301;The French Revolution
1302;Enemies of Books
1303;The Scapegoat
1304;Unknown
1305;The Ball at Sceaux
1306;Seven Men
1307;The Magic Skin
1309;The Spirit of Place
131;The Pilgrim's Progress From this world to that which is to come.
1311;If
1312;Selected Stories
1313;Over the Sliprails
1314;The Malefactor
1315;Autobiography and Selected Essays
1316;Some Reminiscences
1317;Saltbush Bill, J.P., and Other Verses
1318;The Twin Hells
1319;Unknown
132;The Art of War
1322;Leaves of Grass
1323;The Conquest Of Peru
1324;Unknown
1325;Unknown
1326;The Crisis in Russia 1920
1327;Elizabeth and her German Garden
1328;Unknown
133;The Damnation of Theron Ware
1330;The Story of Little Black Sambo, and The Story of Little Black Mingo
1331;Unknown
1332;Peter Pan in Kensington Gardens
1333;Robert F. Murray his poems with a memoir by Andrew Lang
1334;Paul Kelver
1335;The Ancien Regime
1336;Shelley An Essay
1337;Shelley
1338;Selected Prose of Oscar Wilde with a Preface by Robert Ross
134;Maria The Wrongs of Woman
1340;Unknown
1341;The Altruist in Politics
1342;Pride and Prejudice
1343;Bureaucracy
1344;The Secrets of the Princesse de Cadignan
1345;The Vicar of Tours
1346;The Eighteenth Brumaire of Louis Bonaparte
1347;A New Philosophy: Henri Bergson
1348;A Master's Degree
1349;Russia
1350;The Country Doctor
1351;Unknown
1352;An Old Maid
1353;Off on a Comet
1354;Chronicles of Avonlea
1355;The Underground City
1356;The Cruise of the Cachalot Round the World After Sperm Whales
1357;Madame Firmiani
1358;Enoch Arden, &c.
1359;Unknown
136;A Child's Garden of Verses
1360;Historical Lectures and Essays
1361;Tom Swift and his Giant Cannon or, The Longest Shots on Record
1362;Tom Swift and his Undersea Search or, The Treasure on the Floor of the Atlantic
1363;Tom Swift among the Fire Fighters or, Battling with Flames from the Air
1364;Tom Swift and his Electric Locomotive or, Two Miles a Minute on the Rails
1365;The Complete Poetical Works of Henry Wadsworth Longfellow
1366;The Cloister and the Hearth
1367;Findelkind
1368;When the World Shook Being an Account of the Great Adventure of Bastin, Bickley and Arbuthnot
1369;Paz (La Fausse Maitresse)
137;Sara Crewe
1370;Unknown
1371;Astoria Or, Anecdotes Of An Enterprise Beyond The Rocky Mountains
1372;The Adventures of Captain Bonneville Digested From His Journal
1373;Study of a Woman
1374;Vendetta
1375;New Chronicles of Rebecca
1376;The Little White Bird or Adventures In Kensington Gardens
1377;The Talisman
1378;The Land of Footprints
1379;A Straight Deal or The Ancient Grudge
138;George Sand, Some Aspects of Her Life and Writings
1380;The Two Brothers
1384;The Ayrshire Legatees
1385;Lin McLean
1386;Lady Baltimore
1387;Mother
1388;Padre Ignacio Or The Song of Temptation
1389;Gobseck
139;The Lost World
1390;The Jimmyjohn Boss and Other Stories
1391;Penelope's Irish Experiences
1392;The Seven Poor Travellers
1393;Amours de Voyage
1394;The Holly-Tree
1395;Letters on Literature
1396;Rienzi
1397;The Ruins
1398;Unknown
1399;Anna Karenina
14;The 1990 CIA World Factbook
140;The Jungle
1400;Great Expectations
1401;Tarzan the Untamed
1402;Where the Blue Begins
1403;A Start in Life
1404;The Federalist Papers
1405;The Collection of Antiquities
1406;The Perils of Certain English Prisoners
1407;A Message from the Sea
1408;Unknown
1409;The Soul of the Far East
141;Mansfield Park
1410;The Commission in Lunacy
1411;Domestic Peace
1412;Unknown
1413;Tom Tiddler's Ground
1414;Somebody's Luggage
1415;Doctor Marigold
1416;Mrs. Lirriper's Lodgings
1417;Sons of the Soil
1418;Country Sentiment
1419;Mugby Junction
142;The $30,000 Bequest and Other Stories
1420;London's Underworld
1421;Mrs. Lirriper's Legacy
1422;Going into Society
1423;No Thoroughfare
1424;Castle Rackrent
1425;El Verdugo
1426;The Recruit
1427;A Drama on the Seashore
1428;La Grenadiere
1429;The Garden Party
143;The Mayor of Casterbridge
1430;Beautiful Stories from Shakespeare
1431;Trooper Peter Halket of Mashonaland
1432;Seraphita
1433;The Red Inn
1434;Essays
1436;A Voyage to Abyssinia
1437;Juana
1439;Dreams
144;The Voyage Out
1440;Woman and Labour
1441;The Story of an African Farm
1442;The Kingdom of the Blind
1443;Two Poets Lost Illusions Part I
1444;The Voice of the City Further Stories of the Four Million: The Voice of the City -- The Complete Life of John Hopkins -- A Lickpenny Lover -- Dougherty's Eye-Opener -- Little Speck in Garnered Fruit -- The Harbinger -- While the Auto Waits -- A Comedy in Rubber -- One Thousand Dollars -- The Defeat of the City -- The Shocks of Doom -- The Plutonian Fire -- Nemesis and the Candy Man -- Squaring the Circle -- Roses, Ruses and Romance -- The City of Dreadful Night -- The Easter of the Soul -- The Fool-Killer -- Transients in Arcadia -- The Rathskeller and the Rose -- The Clarion Call -- Extradited from Bohemia -- A Philistine in Bohemia -- From Each According to His Ability -- The Memento
1445;Unknown
1446;Perfect Behavior A Guide for Ladies and Gentlemen in all Social Crises
1447;The Illustrious Prince
1448;Heidi
1449;The Valley of the Moon
145;Middlemarch
1450;Pollyanna
1451;Unknown
1452;Unknown
1453;The Alkahest
1454;Maitre Cornelius
1455;The Hated Son
1456;An Episode Under the Terror
1457;Mistress Wilding
1458;Dream Life and Real Life
1459;Prufrock and Other Observations
146;A Little Princess
1460;The Black Dwarf
1461;A Legend of Montrose
1462;Unknown
1463;The Private Papers of Henry Ryecroft
1465;The Wreck of the Golden Mary
1466;Unknown
1468;The History of England from the Accession of James II. Volume 1 (of 5)
1470;Unknown
1471;New Poems
1472;In a German Pension
1473;The Absentee
1474;The Illustrious Gaudissart
1475;Gaudissart II
1476;Chance
1477;The Toys of Peace
1478;A Parody Outline of History
1479;Unknown
148;The Autobiography of Benjamin Franklin
1480;Tom Brown's Schooldays
1481;A Daughter of Eve
1482;Modeste Mignon
1483;Unknown
1484;The Four Horsemen of the Apocalypse
1485;Unknown
1486;The Unseen World and Other Essays
1487;The Perfect Wagnerite A Commentary on the Niblung's Ring
1488;The True Story of Christopher Columbus
1489;Unknown
149;The Lost Continent
1490;Unknown
1492;The Life of Christopher Columbus from his own Letters and Journals
1493;The Legends of the Jews Volume 1
1494;Unknown
1495;The Golf Course Mystery
1496;Massacre at Paris
1497;The Republic
1498;Beacon Lights of History, Volume III, Part 1
1499;Beacon Lights of History, Volume 3, Part 2
15;Moby Dick
150;Plato's Republic
1500;Unknown
1501;Unknown
1502;Unknown
1503;Unknown
1504;Unknown
1505;Unknown
1506;Unknown
1507;Unknown
1508;Unknown
1509;Unknown
151;The Rime of the Ancient Mariner
1510;Unknown
1511;Unknown
1512;Unknown
1513;Unknown
1514;Unknown
1515;Unknown
1516;Unknown
1517;The Merry Wives of Windsor
1518;Unknown
1519;Unknown
152;Wild Justice
1520;Unknown
1521;Unknown
1522;Unknown
1523;Unknown
1524;Unknown
1525;Unknown
1526;Unknown
1527;Unknown
1528;Unknown
1529;Unknown
153;Jude the Obscure
1530;Unknown
1531;Othello, the Moor of Venice
1532;Unknown
1533;Unknown
1534;Unknown
1535;Unknown
1536;Unknown
1537;Unknown
1538;Unknown
1539;The Winter's Tale [Collins Edition]
154;The Rise of Silas Lapham
1540;Unknown
1541;Unknown
1542;Unknown
1543;Unknown
1544;Unknown
1545;Unknown
1546;Unknown
1547;Unknown
1548;Unknown
1549;Commentary on the Epistle to the Galatians
155;The Moonstone
1550;A Lady of Quality
1551;A Cathedral Courtship
1552;Unknown
1553;The Hidden Masterpiece
1554;Adieu
1555;A Passion in the Desert
1556;The Marriage Contract
1557;Men of Iron
1558;Unknown
1559;A Distinguished Provincial at Paris
1560;The San Francisco Calamity
1561;Pagan & Christian Creeds Their Origin and Meaning
1562;Little Rivers A Book Of Essays In Profitable Idleness
1563;The Crystal Stopper
1564;Life of Johnson Abridged and Edited, with an Introduction by Charles Grosvenor Osgood
1565;The Last Days of Pompeii
1566;The Evolution of Modern Medicine A Series Of Lectures Delivered At Yale University On The Silliman Foundation In April, 1913
1569;The Lily of the Valley
157;Daddy-Long-Legs
1570;Unknown
1571;Critias
1572;Timaeus
1573;Frank's Campaign or the Farm and the Camp
1574;Historic Girls
1575;Unknown
1576;Unknown
1577;The Grey Room
1578;Aucassin and Nicolete
1579;Lysis
158;Emma
1580;Charmides
1581;The Holy Bible Douay-Rheims Version, Challoner Revision The Old and New Testaments
1582;The Bible, Douay-Rheims, New Testament
1583;Options The Rose of Dixie; The Third Ingredient; The Hiding of Black Bill; Schools and Schools; Thimble, Thimble; Supply and Demand; Buried Treasure; To Him Who Waits; He Also Serves; The Moment of Victory; The Head-Hunter; No Story; The Higher Pragmatism; Best-Seller; Rus in Urbe; A Poor Rule
1584;Laches
1585;The Wrong Box
1586;Man and Wife
1587;The Black Robe
1588;A Rogue's Life
1589;Tamburlaine the Great, Part II.
159;The Island of Doctor Moreau
1590;The Amazing Interlude
1591;Protagoras
1592;Unknown
1593;How to Tell the Birds from the Flowers A Manual of Flornithology for Beginners
1594;Essays in Little
1595;Whirligigs
1596;Smoke Bellew
1597;Andersen's Fairy Tales
1598;Euthydemus
1599;Cinderella; or, The Little Glass Slipper and Other Stories
16;Peter Pan Peter Pan and Wendy
160;The Awakening and Selected Short Stories
1600;Symposium
1601;The Breaking Point
1602;Dawn O'Hara, The Girl Who Laughed
1603;The Blue Flower, and Others
1604;The Ebb-Tide A Trio And Quartette
1605;The Crock of Gold
1606;Kenilworth
1607;Unknown
1608;Camille (La Dame aux Camilias)
1609;The Bible, Douay-Rheims, Old Testament--Part I
161;Sense and Sensibility
1610;The Bible, Douay-Rheims, Old Testament--Part 2
1611;Seventeen A Tale Of Youth And Summer Time And The Baxter Family Especially William
1612;Poems By a Little Girl
1613;Count Bunker Being a Bald yet Veracious Chronicle Containing some Further Particulars of Two Gentlemen Whose Previous Careers Were Touched Upon in a Tome Entitled The Lunatic At Large
1614;The Golden Fleece
1616;Cratylus
1617;The Wind in the Rose-bush and Other Stories of the Supernatural
1618;In the Shadow of the Glen
162;Take Me for a Ride Coming of Age in a Destructive Cult
1620;The Lion and the Unicorn and Other Stories
1621;Miss or Mrs.?
1622;The Law and the Lady
1623;The New Magdalen
1624;The Two Destinies
1625;The Frozen Deep
1626;After Dark
1627;The Evil Genius
1628;My Lady's Money
1629;I Say No
163;Flower Fables
1630;Little Novels
1631;A Monk of Fife Being the chronicle written by Norman Leslie of Pitcullo, concerning marvellous deeds that befell in the realm of France, in the years of our redemption, MCCCCXXIX-XXXI.  Now first done into English out of the French
1632;A Book of Scoundrels
1633;Unknown
1634;The Foolish Virgin
1635;Ion
1636;Phaedrus
1638;The New Revelation
1639;Eve and David
164;Twenty Thousand Leagues under the Sea (slightly abridged)
1640;Lilith
1641;The Lesser Bourgeoisie
1642;Euthyphro
1643;Meno
1644;The Adventures of Gerard
1646;Roads of Destiny Roads of Destiny -- The Guardian of the Accolade -- The Discounters of Money -- The Enchanted Profile -- Next to Reading Matter -- Art and the Bronco -- Phoebe -- A Double-dyed Deceiver -- The Passing of Black Eagle -- A Retrieved Reformation -- Cherchez la Femme -- Friends in San Rosario -- The Fourth in Salvador -- The Emancipation of Billy -- The Enchanted Kiss -- A Departmental Case -- The Renaissance at Charleroi -- On Behalf of the Management -- Whistling Dick's Christmas Stocking -- The Halberdier of the Little Rheinschloss -- Two Renegades -- The Lonesome Road
1649;Ferragus
165;McTeague
1650;Unknown
1651;The Mystery of Orcival
1652;The Survivors of the Chancellor
1653;Unknown
1654;An Unsocial Socialist
1655;The God of His Fathers
1656;Apology Also known as The Death of Socrates
1657;Unknown
1658;Phaedo The Last Hours Of Socrates
1659;The Girl with the Golden Eyes
166;Summer
1660;Scenes from a Courtesan's Life
1661;The Adventures of Sherlock Holmes
1662;The 1997 CIA World Factbook
1663;Webster's Seventh of March Speech, and the Secession Movement
1664;Songs for Parents
1665;Derrick Vaughan--Novelist
1666;The Golden Asse
1667;My Aunt Margaret's Mirror From Short Stories Published in The Keepsake Annual of 1828
1668;The Tapestried Chamber, and Death of the Laird's Jock
1669;The Human Drift
167;American Handbook of the Daguerrotype
1670;The Small Catechism of Martin Luther
1671;When a Man Marries
1672;Gorgias
1673;Lesser Hippias
1674;Unknown
1675;Unknown
1676;Alcibiades I
1677;Alcibiades II
1678;An Historical Mystery
1679;Hiram The Young Farmer
168;The History and Practice of the Art of Photography
1680;At the Sign of the Cat and Racket
1681;Eryxias
1682;Menexenus
1683;Honorine
1684;The Egoist
1685;The Mystery of the Yellow Room
1686;The Secret of the Night
1687;Parmenides
1688;The People of the Abyss
1689;The Pivot of Civilization
169;The Well at the World's End
1690;Marie An Episode in The Life of the late Allan Quatermain
1692;1492
1693;Dangerous Days
1694;Unknown
1695;The Man Who Was Thursday A Nightmare
1696;The Club of Queer Trades
