3639;876
5735;1440
5738;1440
6020;1440
6115;1440
3692;897
6437;1648
701;1871
4243;1038
8212;1038
8639;1038
947;1038
287;688
5757;688
787;688
9374;688
2325;524
5947;524
4252;1045
5064;1045
8385;2183
4248;1042
881;2283
10093;62
1640;62
1953;62
225;62
2291;62
2370;62
2433;62
2561;62
5676;62
5750;62
5751;62
5752;62
5753;62
5773;62
5966;62
5967;62
5968;62
5969;62
5974;62
5975;62
5976;62
6364;62
697;62
708;62
709;62
7127;62
7174;62
8201;62
8551;62
8552;62
8553;62
8562;62
8879;62
8886;62
8892;62
8902;62
8913;62
8924;62
8929;62
8943;62
8944;62
8949;62
8955;62
9057;62
9096;62
9103;62
9154;62
9155;62
9183;62
9191;62
9301;62
9393;62
9471;62
9543;62
9984;62
3296;788
9796;2430
1317;243
2272;511
7424;1970
9161;2329
851;2221
8690;2264
2298;519
2941;702
3330;702
5016;1260
6438;1649
3923;969
3924;969
3925;969
3926;969
1354;264
316;264
3796;264
45;264
47;264
51;264
5340;264
5341;264
5342;264
5343;264
544;264
2817;673
4217;673
6427;1641
10149;83
1880;83
2275;83
2328;83
2329;83
3285;83
8647;83
8880;83
8888;83
940;83
9788;83
9826;83
9845;83
1664;347
264;623
3754;917
7335;1948
5715;1430
8094;2129
9328;2346
6093;1549
7132;1549
7353;1549
7401;1549
7415;1549
7446;1549
7982;1549
942;1549
6844;1802
1222;198
1890;198
1891;198
4551;198
562;1399
6435;1646
6464;1646
7990;2113
2132;485
3320;485
3451;485
3460;485
3476;485
3693;485
4205;485
702;1876
8072;2120
6139;1572
2950;706
7063;706
10042;30
8677;2259
8694;2259
272;647
3788;934
8598;2242
5981;1500
9629;2405
1402;280
172;280
5311;280
7208;280
5052;1289
6619;1289
10109;66
4328;1074
4329;1074
4330;1074
4976;1074
1043;139
12;185
3818;946
5181;1325
5198;1325
5203;1325
5208;1325
5209;1325
5210;1325
5217;1325
5707;1427
6080;1541
7984;2111
3077;745
3078;745
3079;745
3080;745
3081;745
3082;745
3083;745
3084;745
3085;745
3086;745
3087;745
3088;745
3089;745
3090;745
3804;745
4777;745
593;745
7114;745
7482;1984
6111;1557
1251;211
1252;211
2888;694
3033;730
6431;730
4015;990
4025;990
4026;990
1296;230
1384;230
8857;230
3876;960
3877;960
3878;960
3879;960
3880;960
3881;960
3882;960
8141;2144
9998;2498
10148;82
1557;82
1751;82
2865;82
3687;82
964;82
973;82
6682;1744
6630;1720
6958;1852
7938;2101
966;2413
9909;2413
3075;743
3753;743
398;982
1050;144
1097;144
1487;144
1654;144
2175;144
3328;144
3329;144
3418;144
3484;144
3485;144
3486;144
3487;144
3488;144
3543;144
3544;144
3612;144
3618;144
3638;144
3789;144
3790;144
3825;144
3830;144
4003;144
4004;144
4023;144
4024;144
5069;144
5070;144
5071;144
5604;144
5698;144
5722;144
5723;144
5872;144
908;144
943;144
3792;937
6334;1607
6606;1714
6607;1714
6608;1714
6609;1714
6610;1714
6611;1714
6612;1714
6613;1714
6614;1714
6615;1714
